n,x,y,r
1,0.000,0.000,0.000
2,0.000,0.900,0.000
3,0.000,1.800,0.000
4,0.000,2.700,0.000
5,0.000,3.600,0.000
6,0.000,4.500,0.000
7,0.000,5.400,0.000
8,0.000,6.300,0.000
9,0.000,7.200,0.000
10,0.000,8.100,0.000
11,0.000,9.000,0.000
12,0.000,9.900,0.000
13,0.000,10.800,0.000
14,0.000,11.700,0.000
15,0.000,12.150,0.000
16,0.900,12.150,0.000
17,0.900,11.700,0.000
18,0.900,10.800,0.000
19,0.900,9.900,0.000
20,0.900,9.000,0.000
21,0.900,8.100,0.000
22,0.900,7.200,0.000
23,0.900,6.300,0.000
24,0.900,5.400,0.000
25,0.900,4.500,0.000
26,0.900,3.600,0.000
27,0.900,2.700,0.000
28,0.900,1.800,0.000
29,0.900,0.900,0.000
30,0.900,0.000,0.000
31,1.800,0.000,0.000
32,1.800,0.900,0.000
33,1.800,1.800,0.000
34,1.800,2.700,0.000
35,1.800,3.600,0.000
36,1.800,4.500,0.000
37,1.800,5.400,0.000
38,1.800,6.300,0.000
39,1.800,7.200,0.000
40,1.800,8.100,0.000
41,1.800,9.000,0.000
42,1.800,9.900,0.000
43,1.800,10.800,0.000
44,1.800,11.700,0.000
45,1.800,12.600,0.000
46,0.900,12.150,90.000
47,1.800,12.150,90.000
48,1.800,11.700,90.000
49,2.700,11.700,90.000
50,3.505,11.690,90.000
51,4.405,11.690,90.000
52,5.305,11.690,90.000
53,6.205,11.690,90.000
54,7.105,11.690,90.000
55,8.005,11.690,90.000
56,8.905,11.690,90.000
57,9.355,11.690,90.000
58,9.355,10.790,90.000
59,8.905,10.790,90.000
60,8.005,10.790,90.000
61,7.105,10.790,90.000
62,6.205,10.790,90.000
63,5.305,10.790,90.000
64,4.405,10.790,90.000
65,3.505,10.790,90.000
66,2.700,10.800,90.000
67,1.800,10.800,90.000
68,0.900,10.800,90.000
69,0.900,9.900,90.000
70,1.800,9.900,90.000
71,2.700,9.900,90.000
72,3.505,9.890,90.000
73,4.405,9.890,90.000
74,5.305,9.890,90.000
75,6.205,9.890,90.000
76,7.105,9.890,90.000
77,8.005,9.890,90.000
78,8.905,9.890,90.000
79,9.355,9.890,90.000
80,8.455,10.790,180.000
81,8.455,9.890,180.000
82,8.455,8.990,180.000
83,8.455,8.246,180.000
84,8.455,7.346,180.000
85,8.455,6.446,180.000
86,8.455,5.546,180.000
87,8.455,4.646,180.000
88,8.455,3.746,180.000
89,8.455,2.846,180.000
90,8.455,1.946,180.000
91,8.455,1.046,180.000
92,8.455,0.146,180.000
93,8.455,-0.754,180.000
94,8.455,0.146,180.000
95,8.455,1.046,180.000
96,8.455,1.946,180.000
97,8.455,2.846,180.000
98,8.455,3.746,180.000
99,8.455,4.646,180.000
100,8.455,5.546,180.000
101,8.455,6.446,180.000
102,8.455,7.346,180.000
103,8.455,8.246,180.000
104,8.455,9.146,180.000
105,8.455,9.890,180.000
106,8.455,10.790,180.000
107,8.455,11.690,180.000
108,9.355,11.690,180.000
109,9.355,10.790,180.000
110,9.355,9.890,180.000
111,9.355,9.146,180.000
112,9.355,8.246,180.000
113,9.355,7.346,180.000
114,9.355,6.446,180.000
115,9.355,5.546,180.000
116,9.355,4.646,180.000
117,9.355,3.746,180.000
118,9.355,2.846,180.000
119,9.355,1.946,180.000
120,9.805,1.046,180.000
121,9.805,0.146,180.000
122,9.805,-0.754,180.000
